product_name,description,manufacturer
Frog 33cm Soft Toy Plush by Teddy Hermann,Frog 33cm Soft Toy Plush by Teddy Hermann,Teddy Hermann
"Nintendo Pokemon Plush Toy - 12"" Zoroark Plush Toy -- Yao Design","Pokemon Plush Soft Toy Doll - Nintendo Pokemon Plush Toy - 12"" Zoroark Size: 30CM limited version White Version Zekrom Reshir",Yao Design
Andy's Toy Chest 30cm Buzz Lightyear,"Toy Story Andy's Toy Chest 30cm Buzz Lightyear comes with over 14 moveable joints. Buzz comes with 3 modes of play: Space Ranger mode: with moving head action. Talk back mode: where Buzz Lightyear will respond to your voice. Flying mode: features level sensors that you know when Buzz Lightyear is in a horizontal flying position or standing vertically and will respond with related phrases and sound effects. Also features a soft rubber waist with a glow in the dark green trim and includes Certificate of Authenticity.3 modes of play - Space ranger mode, talk back mode and flying mode.14 moveable joints.Includes: Certificate of Authenticity.Batteries Included.",Andy's
Tiger plush toy with I Love Alex T-Shirt (first name/surname/nickname),"Tiger plush toy with Personalised T-Shirt 9.05"" (23 cm) tallBUYER'S INFORMATIONNot suitable for children under 1!This item does not contain toxic material.Cleaning: use warm water.Country of origin: China",Shopzeus
Ty Stripes Buddy Beanie Boos 7136911 Soft Toy Tiger Large 21.5 cm,"I live in a groovy little jungle hut, Where I dance around and shake my butt Approx height 9"" Suitable for ages 3 + Safety Information: Warning. Not suitable for Children under 3 years.",Ty
Disney Toy Story Alien Soft Plush Doll Toy,"Ooooh! Welcome an adorable alien land in your world. This cuddly chap, with familiar features and an embroidered motif, looks exactly how you remember him from Toy Story. 12"" tall",Disney
Teddy Bear with Cycling image t-shirt,18 cm (7 inch) tall soft teddy bear with personalized white t-shirt.BUYER'S INFORMATIONNot suitable for Children under 3!This item does not contain toxic material.Cleaning: use warm water.Country of origin: China,Shopzeus
Worry Eater Soft Toy - Pomm,"Product Description Hi, my name is Pomm. And I have a real appetite for worries of all kind. But my absolute favourite worry dish is orange and beige-coloured worries of children. Yum-yum, are they ever delicious! Just take me along wherever you go, and everything will be alright. Box Contains 1 Sorgenfresser Pomm",Schmidt
How To Train Your Dragon Soft Toy Toothless Night Fury Plush 22cm,"Who says dragons can't be lovable? Toothless might be a terrifying Night Fury but he's also Hiccup's loyal friend. Soft and cuddly, this dragon is a friend to all dragon trainers.",How to Train Your Dragon
Melissa & Doug Beagle Plush Toy,Product Description Melissa & Doug offers high quality toys which are great for stimulating an infants brain and enhance the hand-eye coordination Box Contains 1x Beagle - Plush,Melissa & Doug
